Date,Google Trend
2016/12/11,32
2016/12/12,28
2016/12/13,30
2016/12/14,52
2016/12/15,35
2016/12/16,20
2016/12/17,38
2016/12/18,28
2016/12/19,45
2016/12/20,25
2016/12/21,45
2016/12/22,62
2016/12/23,63
2016/12/24,72
2016/12/25,66
2016/12/26,36
2016/12/27,68
2016/12/28,56
2016/12/29,51
2016/12/30,55
2016/12/31,61
2017/1/1,51
2017/1/2,55
2017/1/3,70
2017/1/4,72
2017/1/5,100
2017/1/6,76
2017/1/7,84
2017/1/8,45
2017/1/9,51
2017/1/10,63
2017/1/11,80
2017/1/12,66
2017/1/13,53
2017/1/14,48
2017/1/15,52
2017/1/16,46
2017/1/17,71
2017/1/18,68
2017/1/19,57
2017/1/20,53
2017/1/21,59
2017/1/22,44
2017/1/23,31
2017/1/24,60
2017/1/25,42
2017/1/26,43
2017/1/27,39
2017/1/28,46
2017/1/29,36
2017/1/30,39
2017/1/31,47
2017/2/1,58
2017/2/2,45
2017/2/3,56
2017/2/4,38
2017/2/5,46
2017/2/6,50
2017/2/7,53
2017/2/8,65
2017/2/9,42
2017/2/10,43
2017/2/11,23
2017/2/12,55
2017/2/13,49
2017/2/14,34
2017/2/15,27
2017/2/16,39
2017/2/17,52
2017/2/18,47
2017/2/19,53
2017/2/20,33
2017/2/21,55
2017/2/22,63
2017/2/23,64
2017/2/24,67
2017/2/25,45
2017/2/26,37
2017/2/27,73
2017/2/28,44
2017/3/1,73
2017/3/2,56
2017/3/3,79
2017/3/4,65
2017/3/5,55
2017/3/6,51
2017/3/7,53
2017/3/8,61
2017/3/9,57
2017/3/10,28
2017/3/11,42
2017/3/12,17
2017/3/13,25
2017/3/14,23
2017/3/15,31
2017/3/16,26
2017/3/17,24
2017/3/18,23
2017/3/19,30
2017/3/20,32
2017/3/21,33
2017/3/22,16
2017/3/23,17
2017/3/24,21
2017/3/25,27
2017/3/26,26
2017/3/27,29
2017/3/28,24
2017/3/29,23
2017/3/30,22
2017/3/31,20
2017/4/1,21
2017/4/2,23
2017/4/3,26
2017/4/4,21
2017/4/5,18
2017/4/6,27
2017/4/7,19
2017/4/8,22
2017/4/9,15
2017/4/10,21
2017/4/11,29
2017/4/12,33
2017/4/13,35
2017/4/14,16
2017/4/15,16
2017/4/16,18
2017/4/17,19
2017/4/18,19
2017/4/19,21
2017/4/20,24
2017/4/21,29
2017/4/22,24
2017/4/23,30
2017/4/24,17
2017/4/25,38
2017/4/26,26
2017/4/27,27
2017/4/28,24
2017/4/29,31
2017/4/30,23
2017/5/1,34
2017/5/2,33
2017/5/3,32
2017/5/4,53
2017/5/5,35
2017/5/6,26
2017/5/7,41
2017/5/8,30
2017/5/9,47
2017/5/10,38
2017/5/11,43
2017/5/12,45
2017/5/13,42
2017/5/14,36
2017/5/15,35
2017/5/16,39
2017/5/17,42
2017/5/18,26
2017/5/19,40
2017/5/20,47
2017/5/21,40
2017/5/22,62
2017/5/23,60
2017/5/24,61
2017/5/25,100
2017/5/26,68
2017/5/27,52
2017/5/28,63
2017/5/29,46
2017/5/30,42
2017/5/31,46
2017/6/1,46
2017/6/2,42
2017/6/3,51
2017/6/4,37
2017/6/5,46
2017/6/6,52
2017/6/7,64
2017/6/8,68
2017/6/9,42
2017/6/10,53
2017/6/11,57
2017/6/12,72
2017/6/13,67
2017/6/14,61
2017/6/15,60
2017/6/16,55
2017/6/17,57
2017/6/18,44
2017/6/19,34
2017/6/20,47
2017/6/21,55
2017/6/22,56
2017/6/23,53
2017/6/24,33
2017/6/25,41
2017/6/26,44
2017/6/27,52
2017/6/28,55
2017/6/29,42
2017/6/30,32
2017/7/1,24
2017/7/2,21
2017/7/3,41
2017/7/4,28
2017/7/5,28
2017/7/6,27
2017/7/7,24
2017/7/8,29
2017/7/9,28
2017/7/10,30
2017/7/11,45
2017/7/12,39
2017/7/13,25
2017/7/14,39
2017/7/15,40
2017/7/16,50
2017/7/17,41
2017/7/18,46
2017/7/19,41
2017/7/20,52
2017/7/21,54
2017/7/22,37
2017/7/23,40
2017/7/24,39
2017/7/25,37
2017/7/26,38
2017/7/27,39
2017/7/28,43
2017/7/29,29
2017/7/30,28
2017/7/31,46
2017/8/1,79
2017/8/2,54
2017/8/3,41
2017/8/4,48
2017/8/5,52
2017/8/6,52
2017/8/7,66
2017/8/8,53
2017/8/9,53
2017/8/10,57
2017/8/11,52
2017/8/12,70
2017/8/13,69
2017/8/14,81
2017/8/15,80
2017/8/16,53
2017/8/17,83
2017/8/18,66
2017/8/19,74
2017/8/20,53
2017/8/21,39
2017/8/22,54
2017/8/23,57
2017/8/24,66
2017/8/25,58
2017/8/26,48
2017/8/27,47
2017/8/28,46
2017/8/29,52
2017/8/30,62
2017/8/31,51
2017/9/1,57
2017/9/2,55
2017/9/3,57
2017/9/4,65
2017/9/5,63
2017/9/6,60
2017/9/7,49
2017/9/8,53
2017/9/9,26
2017/9/10,43
2017/9/11,10
2017/9/12,10
2017/9/13,12
2017/9/14,18
2017/9/15,17
2017/9/16,11
2017/9/17,7
2017/9/18,13
2017/9/19,10
2017/9/20,9
2017/9/21,11
2017/9/22,9
2017/9/23,9
2017/9/24,7
2017/9/25,8
2017/9/26,9
2017/9/27,11
2017/9/28,9
2017/9/29,8
2017/9/30,10
2017/10/1,9
2017/10/2,9
2017/10/3,10
2017/10/4,8
2017/10/5,9
2017/10/6,6
2017/10/7,7
2017/10/8,8
2017/10/9,10
2017/10/10,10
2017/10/11,9
2017/10/12,19
2017/10/13,18
2017/10/14,12
2017/10/15,13
2017/10/16,11
2017/10/17,11
2017/10/18,12
2017/10/19,13
2017/10/20,13
2017/10/21,15
2017/10/22,10
2017/10/23,15
2017/10/24,12
2017/10/25,13
2017/10/26,12
2017/10/27,12
2017/10/28,9
2017/10/29,10
2017/10/30,12
2017/10/31,12
2017/11/1,19
2017/11/2,22
2017/11/3,20
2017/11/4,16
2017/11/5,15
2017/11/6,16
2017/11/7,15
2017/11/8,21
2017/11/9,20
2017/11/10,24
2017/11/11,20
2017/11/12,22
2017/11/13,22
2017/11/14,17
2017/11/15,19
2017/11/16,23
2017/11/17,25
2017/11/18,15
2017/11/19,18
2017/11/20,17
2017/11/21,21
2017/11/22,18
2017/11/23,14
2017/11/24,13
2017/11/25,19
2017/11/26,28
2017/11/27,33
2017/11/28,37
2017/11/29,61
2017/11/30,44
2017/12/1,36
2017/12/2,33
2017/12/3,31
2017/12/4,31
2017/12/5,35
2017/12/6,45
2017/12/7,100
2017/12/8,83
2017/12/9,56
2017/12/10,49
2017/12/11,61
2017/12/12,57
2017/12/13,51
2017/12/14,45
2017/12/15,47
2017/12/16,48
2017/12/17,50
2017/12/18,53
2017/12/19,54
2017/12/20,65
2017/12/21,67
2017/12/22,100
2017/12/23,55
2017/12/24,50
2017/12/25,41
2017/12/26,45
2017/12/27,42
2017/12/28,43
2017/12/29,43
2017/12/30,41
2017/12/31,34
2018/1/1,31
2018/1/2,42
2018/1/3,43
2018/1/4,52
2018/1/5,50
2018/1/6,50
2018/1/7,40
2018/1/8,43
2018/1/9,40
2018/1/10,40
2018/1/11,43
2018/1/12,34
2018/1/13,32
2018/1/14,22
2018/1/15,26
2018/1/16,42
2018/1/17,61
2018/1/18,43
2018/1/19,28
2018/1/20,30
2018/1/21,20
2018/1/22,28
2018/1/23,26
2018/1/24,28
2018/1/25,26
2018/1/26,22
2018/1/27,19
2018/1/28,20
2018/1/29,20
2018/1/30,23
2018/1/31,22
2018/2/1,26
2018/2/2,35
2018/2/3,29
2018/2/4,22
2018/2/5,39
2018/2/6,41
2018/2/7,27
2018/2/8,24
2018/2/9,23
2018/2/10,18
2018/2/11,17
2018/2/12,17
2018/2/13,16
2018/2/14,18
2018/2/15,19
2018/2/16,18
2018/2/17,17
2018/2/18,20
2018/2/19,13
2018/2/20,16
2018/2/21,18
2018/2/22,14
2018/2/23,13
2018/2/24,12
2018/2/25,15
2018/2/26,12
2018/2/27,15
2018/2/28,14
2018/3/1,11
2018/3/2,12
2018/3/3,12
2018/3/4,13
2018/3/5,14
2018/3/6,11
2018/3/7,14
2018/3/8,14
2018/3/9,18
2018/3/10,68
2018/3/11,76
2018/3/12,73
2018/3/13,73
2018/3/14,77
2018/3/15,98
2018/3/16,66
2018/3/17,69
2018/3/18,94
2018/3/19,91
2018/3/20,80
2018/3/21,75
2018/3/22,74
2018/3/23,58
2018/3/24,61
2018/3/25,54
2018/3/26,70
2018/3/27,66
2018/3/28,60
2018/3/29,86
2018/3/30,100
2018/3/31,79
2018/4/1,70
2018/4/2,77
2018/4/3,84
2018/4/4,67
2018/4/5,63
2018/4/6,58
2018/4/7,49
2018/4/8,51
2018/4/9,71
2018/4/10,67
2018/4/11,65
2018/4/12,91
2018/4/13,71
2018/4/14,66
2018/4/15,39
2018/4/16,55
2018/4/17,60
2018/4/18,80
2018/4/19,66
2018/4/20,64
2018/4/21,67
2018/4/22,65
2018/4/23,69
2018/4/24,84
2018/4/25,73
2018/4/26,73
2018/4/27,69
2018/4/28,72
2018/4/29,65
2018/4/30,59
2018/5/1,61
2018/5/2,68
2018/5/3,69
2018/5/4,75
2018/5/5,55
2018/5/6,61
2018/5/7,53
2018/5/8,62
2018/5/9,61
2018/5/10,60
2018/5/11,69
2018/5/12,53
2018/5/13,68
2018/5/14,54
2018/5/15,57
2018/5/16,59
2018/5/17,55
2018/5/18,47
2018/5/19,48
2018/5/20,46
2018/5/21,38
2018/5/22,52
2018/5/23,52
2018/5/24,72
2018/5/25,48
2018/5/26,45
2018/5/27,52
2018/5/28,57
2018/5/29,52
2018/5/30,41
2018/5/31,43
2018/6/1,43
2018/6/2,42
2018/6/3,41
2018/6/4,48
2018/6/5,45
2018/6/6,50
2018/6/7,49
2018/6/8,47
2018/6/9,49
2018/6/10,62
2018/6/11,78
2018/6/12,75
2018/6/13,68
2018/6/14,84
2018/6/15,49
2018/6/16,39
2018/6/17,50
2018/6/18,42
2018/6/19,56
2018/6/20,44
2018/6/21,47
2018/6/22,67
2018/6/23,50
2018/6/24,77
2018/6/25,64
2018/6/26,56
2018/6/27,66
2018/6/28,48
2018/6/29,58
2018/6/30,64
2018/7/1,41
2018/7/2,59
2018/7/3,59
2018/7/4,55
2018/7/5,45
2018/7/6,43
2018/7/7,54
2018/7/8,49
2018/7/9,55
2018/7/10,45
2018/7/11,42
2018/7/12,56
2018/7/13,51
2018/7/14,38
2018/7/15,35
2018/7/16,57
2018/7/17,65
2018/7/18,86
2018/7/19,65
2018/7/20,61
2018/7/21,42
2018/7/22,36
2018/7/23,63
2018/7/24,78
2018/7/25,50
2018/7/26,55
2018/7/27,64
2018/7/28,50
2018/7/29,60
2018/7/30,52
2018/7/31,51
2018/8/1,55
2018/8/2,53
2018/8/3,53
2018/8/4,59
2018/8/5,50
2018/8/6,44
2018/8/7,54
2018/8/8,68
2018/8/9,72
2018/8/10,54
2018/8/11,59
2018/8/12,54
2018/8/13,44
2018/8/14,79
2018/8/15,77
2018/8/16,52
2018/8/17,51
2018/8/18,57
2018/8/19,51
2018/8/20,51
2018/8/21,52
2018/8/22,62
2018/8/23,54
2018/8/24,57
2018/8/25,41
2018/8/26,42
2018/8/27,36
2018/8/28,57
2018/8/29,49
2018/8/30,48
2018/8/31,42
2018/9/1,49
2018/9/2,47
2018/9/3,44
2018/9/4,56
2018/9/5,43
2018/9/6,75
2018/9/7,48
2018/9/8,42
2018/9/9,43
2018/9/10,47
2018/9/11,32
2018/9/12,52
2018/9/13,46
2018/9/14,47
2018/9/15,35
2018/9/16,34
2018/9/17,44
2018/9/18,43
2018/9/19,39
2018/9/20,30
2018/9/21,40
2018/9/22,57
2018/9/23,33
2018/9/24,32
2018/9/25,41
2018/9/26,36
2018/9/27,41
2018/9/28,36
2018/9/29,41
2018/9/30,29
2018/10/1,27
2018/10/2,45
2018/10/3,32
2018/10/4,31
2018/10/5,43
2018/10/6,31
2018/10/7,18
2018/10/8,32
2018/10/9,25
2018/10/10,35
2018/10/11,51
2018/10/12,43
2018/10/13,29
2018/10/14,23
2018/10/15,41
2018/10/16,40
2018/10/17,36
2018/10/18,44
2018/10/19,34
2018/10/20,39
2018/10/21,28
2018/10/22,28
2018/10/23,27
2018/10/24,28
2018/10/25,37
2018/10/26,33
2018/10/27,26
2018/10/28,30
2018/10/29,43
2018/10/30,19
2018/10/31,29
2018/11/1,39
2018/11/2,32
2018/11/3,37
2018/11/4,25
2018/11/5,52
2018/11/6,39
2018/11/7,26
2018/11/8,26
2018/11/9,21
2018/11/10,23
2018/11/11,32
2018/11/12,27
2018/11/13,23
2018/11/14,63
2018/11/15,64
2018/11/16,42
2018/11/17,37
2018/11/18,33
2018/11/19,71
2018/11/20,100
2018/11/21,67
2018/11/22,52
2018/11/23,43
2018/11/24,46
2018/11/25,82
2018/11/26,79
2018/11/27,65
2018/11/28,66
2018/11/29,58
2018/11/30,41
2018/12/1,49
2018/12/2,36
2018/12/3,53
2018/12/4,43
2018/12/5,42
2018/12/6,49
2018/12/7,72
2018/12/8,48
2018/12/9,38
2018/12/10,47
2018/12/11,46
2018/12/12,42
2018/12/13,51
2018/12/14,51
2018/12/15,42
2018/12/16,40
2018/12/17,51
2018/12/18,58
2018/12/19,51
2018/12/20,63
2018/12/21,61
2018/12/22,48
2018/12/23,43
2018/12/24,52
2018/12/25,49
2018/12/26,51
2018/12/27,47
2018/12/28,36
2018/12/29,36
2018/12/30,36
2018/12/31,36
2019/1/1,35
2019/1/2,41
2019/1/3,35
2019/1/4,30
2019/1/5,30
2019/1/6,29
2019/1/7,47
2019/1/8,35
2019/1/9,34
2019/1/10,42
2019/1/11,53
2019/1/12,33
2019/1/13,30
2019/1/14,32
2019/1/15,32
2019/1/16,39
2019/1/17,29
2019/1/18,35
2019/1/19,33
2019/1/20,27
2019/1/21,34
2019/1/22,26
2019/1/23,23
2019/1/24,29
2019/1/25,33
2019/1/26,30
2019/1/27,29
2019/1/28,33
2019/1/29,29
2019/1/30,29
2019/1/31,36
2019/2/1,28
2019/2/2,27
2019/2/3,27
2019/2/4,34
2019/2/5,25
2019/2/6,29
2019/2/7,35
2019/2/8,33
2019/2/9,37
2019/2/10,29
2019/2/11,37
2019/2/12,30
2019/2/13,35
2019/2/14,29
2019/2/15,20
2019/2/16,22
2019/2/17,24
2019/2/18,32
2019/2/19,58
2019/2/20,48
2019/2/21,35
2019/2/22,37
2019/2/23,47
2019/2/24,46
2019/2/25,39
2019/2/26,35
2019/2/27,56
2019/2/28,29
2019/3/1,23
2019/3/2,34
2019/3/3,42
2019/3/4,35
2019/3/5,46
2019/3/6,36
2019/3/7,36
2019/3/8,27
2019/3/9,23
2019/3/10,0
2019/3/11,0
2019/3/12,0
2019/3/13,0
2019/3/14,0
2019/3/15,0
2019/3/16,0
2019/3/17,0
2019/3/18,0
2019/3/19,1
2019/3/20,1
2019/3/21,1
2019/3/22,0
2019/3/23,0
2019/3/24,1
2019/3/25,1
2019/3/26,1
2019/3/27,1
2019/3/28,0
2019/3/29,0
2019/3/30,0
2019/3/31,0
2019/4/1,1
2019/4/2,1
2019/4/3,2
2019/4/4,1
2019/4/5,1
2019/4/6,1
2019/4/7,1
2019/4/8,1
2019/4/9,1
2019/4/10,1
2019/4/11,1
2019/4/12,1
2019/4/13,1
2019/4/14,1
2019/4/15,1
2019/4/16,1
2019/4/17,1
2019/4/18,1
2019/4/19,0
2019/4/20,1
2019/4/21,1
2019/4/22,1
2019/4/23,1
2019/4/24,1
2019/4/25,1
2019/4/26,1
2019/4/27,0
2019/4/28,0
2019/4/29,1
2019/4/30,0
2019/5/1,1
2019/5/2,1
2019/5/3,1
2019/5/4,1
2019/5/5,1
2019/5/6,1
2019/5/7,1
2019/5/8,1
2019/5/9,1
2019/5/10,1
2019/5/11,2
2019/5/12,2
2019/5/13,2
2019/5/14,2
2019/5/15,2
2019/5/16,1
2019/5/17,2
2019/5/18,1
2019/5/19,1
2019/5/20,1
2019/5/21,1
2019/5/22,1
2019/5/23,1
2019/5/24,1
2019/5/25,1
2019/5/26,1
2019/5/27,2
2019/5/28,1
2019/5/29,1
2019/5/30,1
2019/5/31,1
2019/6/1,1
2019/6/2,1
2019/6/3,1
2019/6/4,1
2019/6/5,1
2019/6/6,1
2019/6/7,1
2019/6/8,1
2019/6/9,1
2019/6/10,1
2019/6/11,1
2019/6/12,1
2019/6/13,1
2019/6/14,1
2019/6/15,1
2019/6/16,1
2019/6/17,1
2019/6/18,1
2019/6/19,1
2019/6/20,1
2019/6/21,1
2019/6/22,2
2019/6/23,1
2019/6/24,1
2019/6/25,2
2019/6/26,4
2019/6/27,3
2019/6/28,2
2019/6/29,1
2019/6/30,1
2019/7/1,2
2019/7/2,2
2019/7/3,2
2019/7/4,1
2019/7/5,1
2019/7/6,1
2019/7/7,1
2019/7/8,1
2019/7/9,2
2019/7/10,2
2019/7/11,1
2019/7/12,1
2019/7/13,1
2019/7/14,1
2019/7/15,1
2019/7/16,2
2019/7/17,1
2019/7/18,1
2019/7/19,1
2019/7/20,1
2019/7/21,1
2019/7/22,1
2019/7/23,1
2019/7/24,1
2019/7/25,1
2019/7/26,1
2019/7/27,1
2019/7/28,1
2019/7/29,1
2019/7/30,1
2019/7/31,1
2019/8/1,1
2019/8/2,1
2019/8/3,1
2019/8/4,1
2019/8/5,1
2019/8/6,1
2019/8/7,1
2019/8/8,1
2019/8/9,1
2019/8/10,1
2019/8/11,1
2019/8/12,1
2019/8/13,1
2019/8/14,1
2019/8/15,1
2019/8/16,1
2019/8/17,1
2019/8/18,1
2019/8/19,1
2019/8/20,1
2019/8/21,1
2019/8/22,1
2019/8/23,1
2019/8/24,1
2019/8/25,1
2019/8/26,1
2019/8/27,1
2019/8/28,1
2019/8/29,1
2019/8/30,56
2019/8/31,100
2019/9/1,90
2019/9/2,68
2019/9/3,58
2019/9/4,65
2019/9/5,77
2019/9/6,63
2019/9/7,41
2019/9/8,43
2019/9/9,39
2019/9/10,35
2019/9/11,94
2019/9/12,96
2019/9/13,93
2019/9/14,100
2019/9/15,95
2019/9/16,84
2019/9/17,90
2019/9/18,87
2019/9/19,82
2019/9/20,71
2019/9/21,75
2019/9/22,70
2019/9/23,60
2019/9/24,45
2019/9/25,36
2019/9/26,29
2019/9/27,7
2019/9/28,1
2019/9/29,2
2019/9/30,2
2019/10/1,2
2019/10/2,2
2019/10/3,1
2019/10/4,2
2019/10/5,1
2019/10/6,1
2019/10/7,2
2019/10/8,1
2019/10/9,1
2019/10/10,2
2019/10/11,2
2019/10/12,1
2019/10/13,1
2019/10/14,1
2019/10/15,1
2019/10/16,1
2019/10/17,1
2019/10/18,1
2019/10/19,1
2019/10/20,1
2019/10/21,2
2019/10/22,1
2019/10/23,2
2019/10/24,2
2019/10/25,2
2019/10/26,3
2019/10/27,2
2019/10/28,2
2019/10/29,2
2019/10/30,2
2019/10/31,2
2019/11/1,2
2019/11/2,1
2019/11/3,2
2019/11/4,1
2019/11/5,2
2019/11/6,1
2019/11/7,1
2019/11/8,2
